Number,Type,Lat/Long,Nearest Cross Street,Condition,Notes,Pictures
1,5 group benches,"40° 29' 51"" N 88° 56' 03"" W",Clearwater,Good,,"
"
2,Gazebo,"40° 29' 51"" N 88° 56' 03"" W",Clearwater,Good,Has Picnic Table,
3,Playground,"40° 29' 51"" N 88° 56' 03"" W",Clearwater,Good ,,http://i.imgur.com/cFNML3k.jpg
4,Water Fountain,"40° 29' 51"" N 88° 56' 03"" W",Clearwater,Bad,It's broken,
5,Port-a-potty,"40° 29' 49"" N 88° 55' 58"" W",GE Road,Good,,
6,Bench,"40° 30' 06"" N 88° 55' 39"" W",GE Road,Good,Small crack in middle,http://i.imgur.com/kW3Uvbx.jpg
7,Playground,"40° 30' 15"" N 88°55' 56"" W",Radbourne Dr,Good,,
8,Benches,"40° 30' 15"" N 88°55' 56"" W",Radbourne Dr,Bad,Section missing in middle bench,
9,Pavillion,"40° 30' 12"" N 88° 55' 43"" W",GE Road,Good,Has picnic tables and  grill,http://imgur.com/q3DM1v6.jpg
10,Water Fountain,"40° 30' 06"" N 88° 55' 39"" W",GE Road,Good,Has dog bowl,
11,Pavillion+Sign,"40° 30' 11"" N 88° 55' 56"" W",GE Road,Good,"Article 1 sign, benches, brick",
12, Playground w. Benches,"40° 29' 49"" N 88° 55' 25"" W",Airport Rd,Good,Has water park,
13,Water Fountain/ Gazebo,"40° 29' 41"" N 88° 53' 03"" W",Airport Rd,Good,,http://imgur.com/SHLlDIJ.jpg
14,Baseball Diamond,"40° 29' 41"" N 88° 53' 03"" W",Airport Rd,Good,,
15,Baseball Diamond," 40° 29' 39"" N 88° 55' 07"" W",Cornelius Dr.,Good,,
16,Fountain/ Garden Straightaway,"40° 29' 34"" N 88° 55' 27"" W",Cornelius Dr.,Great,,http://i.imgur.com/9iFWkjB.jpg
1,Bench,"-88.9, 40.5",Vernon,Good,,
2,Bench,"-88.9, 40.5",Vernon,Good,,
3,Bench,"-88.9, 40.5",Vernon,Good,,
4,Bench ,"-88.9, 40.5",Vernon,Good,Dedicated to Bob Driscoll,
5,Bench,"-88.9, 40.5",Vernon,Good,,
6,Table,"-88.9, 40.41",Vernon,Good,,
7,Shelter,"-88.9, 40.41",Vernon,Good,,
8,Sign,"-88.9, 40.41",Vernon,Good,,
9,Fountain,"-88.9, 40.41",Vernon,Good,,
10,Sign,"-88.9, 40.41",Vernon,Good,,
11,Bench,"-88.9, 40.41",Vernon,Good,,
12,Bench,"-88.9, 40.41",Vernon,Good,,
13,Sign,"-88.9, 40.41",Vernon,Good,,
14,Sign,"-88.9, 40.41",Vernon,Good,,
15,Sign,"-88.9, 40.41",Vernon,Good,,
16,Bench,"-88.9, 40.41",Vernon,Good,,
17,Sign,"-88.9, 40.41",Vernon,Good,,
18,Bench,"-88.9, 40.41",Vernon,Good,,
19,Sign,"-88.9, 40.41",Vernon,Good,,
20,Sign,"-88.9, 40.48",Davis Jefferson,Good,,
21,Fountain,"-88.9, 40.48",Davis Jefferson,Good,,
22,Shelter,"-88.9, 40.48",Davis Jefferson,Good,,
23,Bike Rack,"-88.9, 40.48",Davis Jefferson,Good,,
24,Map,"-88.9, 40.48",Davis Jefferson,Good,,
25,Sign,"-88.9, 40.48",Davis Jefferson,Good,,
26,Bench,"-88.9, 40.48",Davis Jefferson,Good,,
1,Map,"40.50, -88.9 ",Uptown Circle,Good,,
2,Sign,"40.51, -88.9",Poplar,Good,Duff House,http://i.imgur.com/4aLzXbg.jpg
3,Bench,"40.51, -88.9",Next North of Poplar,Good,,http://i.imgur.com/JuddGno.jpg
4,Bench,"40.52, -88.9",Shelbourne,Good,,http://i.imgur.com/8bPNWdy.jpg
5,Free Library,"40.52, -88.9",Shelbourne,Needs Work,Door Off,http://i.imgur.com/AYBM01V.jpg
6,Sign,"40.53,-88.9",Raab,Good,U.S. Constitution,http://i.imgur.com/Cky26sW.jpg
7,Bench,"40.53,-88.9",Raab,Good,Rosa Parks Commons,http://i.imgur.com/mLABbNf.jpg
8,Map,"40.53,-88.9",Raab,Good,Rosa Parks Commons,http://i.imgur.com/zDUbmZm.jpg
9,Bench,"40.53,-88.9",Raab,Good,Rosa Parks Commons,http://i.imgur.com/ggwo49Y.jpg
10,Water Fountain,"40.53,-88.9",Raab,Good,Rosa Parks Commons,http://i.imgur.com/CAGiSnv.jpg
